id,budget,revenue
862,30000000,373554033.0
8844,65000000,262797249.0
15602,0,0.0
31357,16000000,81452156.0
11862,0,76578911.0
949,60000000,187436818.0
11860,58000000,0.0
45325,0,0.0
9091,35000000,64350171.0
710,58000000,352194034.0
9087,62000000,107879496.0
12110,0,0.0
21032,0,11348324.0
10858,44000000,13681765.0
1408,98000000,10017322.0
524,52000000,116112375.0
4584,16500000,135000000.0
5,4000000,4300000.0
9273,30000000,212385533.0
11517,60000000,35431113.0
8012,30250000,115101622.0
1710,0,0.0
9691,50000000,30303072.0
12665,0,0.0
451,3600000,49800000.0
16420,0,0.0
9263,12000000,27400000.0
17015,0,0.0
902,18000000,1738611.0
37557,0,0.0
9909,0,180000000.0
63,29500000,168840000.0
78802,0,0.0
9598,30000000,254134910.0
47018,0,0.0
687,11000000,39363635.0
139405,0,0.0
33689,0,0.0
9603,12000000,0.0
34615,0,676525.0
31174,0,0.0
11443,10000000,0.0
35196,19000000,0.0
9312,18000000,122195920.0
577,20000000,21284514.0
11861,10000000,23574130.0
807,33000000,327311859.0
10530,55000000,346079773.0
8391,0,0.0
629,6000000,23341568.0
117164,0,0.0
11448,15000000,6700000.0
49133,0,0.0
26441,0,0.0
97406,0,0.0
124057,0,0.0
9089,0,17519169.0
11010,0,0.0
99040,0,0.0
11359,45000000,0.0
17182,20000000,0.0
2054,0,106269971.0
10607,0,0.0
19760,0,0.0
9536,15000000,0.0
11525,0,2409225.0
40628,0,0.0
4482,0,0.0
10634,3500000,28215918.0
755,19000000,25836616.0
11859,50000000,11534477.0
28387,0,718490.0
48750,0,0.0
20927,0,19030691.0
36929,15000000,2042530.0
9102,20000000,5781885.0
124626,0,0.0
27526,0,0.0
9623,44000000,0.0
46785,0,0.0
400,8000000,529766.0
880,900000,0.0
146599,0,0.0
188588,0,0.0
8447,0,0.0
10534,38000000,10300000.0
17414,16000000,0.0
13997,0,32.0
2086,8169363,8175346.0
61548,0,0.0
9095,47000000,12379402.0
12158,14000000,19800000.0
9283,0,0.0
9208,50000000,150270147.0
40154,0,0.0
406,3000000,0.0
45549,0,0.0
63076,0,0.0
11062,0,0.0
13685,7000000,560069.0
47475,0,0.0
2045,18000000,0.0
9614,12000000,41205099.0
688,24000000,182016617.0
11907,0,0.0
10874,0,34327391.0
89333,0,0.0
96357,0,0.0
197,72000000,210000000.0
103,1300000,28262574.0
33542,7500000,32392047.0
43566,35000000,0.0
71754,0,0.0
43612,13365000,0.0
51352,0,1.0
16934,0,0.0
10324,0,0.0
78406,25000000,6278139.0
55731,0,0.0
32119,0,0.0
11066,40000000,70100000.0
11104,0,0.0
